91,AMBC,4.71%,-23.69%,-27.01%,-21.81%,-41.32%,-29.72%,3.85%,5.97%,1.00,925.38K,0.87,8.89,-0.11%,"809,575"
92,AMC,1.66%,-8.63%,-24.94%,-35.50%,-26.90%,-22.86%,2.54%,4.68%,3.33,10.10M,0.60,3.07,-0.32%,"6,014,246"
93,AMCR,-4.84%,-7.99%,0.43%,-13.39%,1.72%,0.32%,2.46%,2.08%,2.26,21.56M,1.17,9.44,-1.15%,"25,176,409"
94,AMD,10.92%,6.20%,-3.42%,-26.38%,-35.75%,-4.95%,3.72%,3.83%,1.80,38.21M,0.76,114.81,0.84%,"28,966,641"
95,AME,2.06%,-3.27%,-1.32%,5.03%,-2.82%,-0.31%,1.46%,1.97%,1.84,1.28M,0.91,179.70,0.49%,"1,166,263"
96,AMGN,-3.70%,-0.92%,17.49%,-9.05%,10.80%,17.73%,1.91%,2.26%,2.28,3.14M,0.82,306.86,-2.39%,"2,564,284"
97,AMH,1.99%,6.01%,2.25%,-6.66%,1.65%,-1.47%,1.89%,2.50%,1.88,2.40M,1.18,36.87,-0.59%,"2,835,795"
98,AMKR,0.72%,-10.30%,-21.65%,-35.43%,-36.88%,-23.36%,2.66%,3.79%,2.00,1.96M,0.88,19.69,-0.96%,"1,718,864"
99,AMLX,3.85%,26.00%,-4.55%,21.94%,31.71%,0.00%,5.91%,9.61%,2.25,831.22K,0.84,3.78,0.00%,"701,137"
100,AMN,-4.04%,-10.83%,4.40%,-47.53%,-64.05%,0.17%,3.48%,5.26%,2.44,946.46K,0.86,23.96,-2.16%,"814,343"
101,AMPH,3.76%,-12.08%,-27.93%,-42.27%,-36.25%,-23.54%,2.67%,4.03%,2.00,586.84K,1.22,28.39,-0.25%,"713,226"
102,AMPL,-1.32%,-6.25%,9.49%,32.60%,4.26%,13.74%,4.10%,5.04%,2.00,793.21K,1.32,12.00,1.69%,"1,049,154"
103,AMPS,0.00%,1.02%,42.36%,40.74%,0.00%,21.38%,0.28%,0.47%,2.56,3.07M,0.58,4.94,0.00%,"1,768,249"
104,AMPX,47.98%,18.28%,94.12%,271.20%,11.49%,17.86%,18.39%,13.61%,1.25,4.13M,1.54,3.30,0.00%,"6,375,772"
105,AMRC,6.06%,-30.22%,-42.22%,-64.60%,-37.28%,-45.61%,8.48%,10.32%,1.92,663.80K,0.81,12.77,-1.08%,"534,404"
